,Meta,c,a_apc,Apc_Period,Apc_Amplitude
408,0.0,0.06030150753768844,0.16,0.0,0.0
409,0.0,0.0678391959798995,0.16,0.0,0.0
410,0.0,0.07537688442211055,0.16,0.0,0.0
411,0.0,0.0829145728643216,0.16,0.0,0.0
412,0.0,0.09045226130653267,0.16,0.0,0.0
413,0.0,0.09798994974874371,0.16,0.0,0.0
414,0.0,0.10552763819095477,0.16,0.0,0.0
415,0.0,0.11306532663316582,0.16,0.0,0.0
416,0.0,0.12060301507537688,0.16,0.0,0.0
417,0.0,0.12814070351758794,0.16,0.0,0.0
418,0.0,0.135678391959799,0.16,0.0,0.0
419,0.0,0.14321608040201003,0.16,0.0,0.0
420,0.0,0.1507537688442211,0.16,0.0,0.0
421,0.0,0.15829145728643215,0.16,0.0,0.0
422,0.0,0.1658291457286432,0.16,0.0,0.0
423,0.0,0.17336683417085427,0.16,0.0,0.0
424,0.0,0.18090452261306533,0.16,0.0,0.0
425,0.0,0.18844221105527637,0.16,0.0,0.0
426,0.0,0.19597989949748743,0.16,0.0,0.0
427,0.0,0.20351758793969849,0.16,0.0,0.0
428,0.0,0.21105527638190955,0.16,0.0,0.0
429,0.0,0.2185929648241206,0.16,0.0,0.0
430,0.0,0.22613065326633164,0.16,0.0,0.0
431,0.0,0.2336683417085427,0.16,0.0,0.0
432,0.0,0.24120603015075376,0.16,0.0,0.0
433,0.0,0.24874371859296482,0.16,0.0,0.0
434,0.0,0.2562814070351759,0.16,0.0,0.0
435,0.0,0.2638190954773869,0.16,0.0,0.0
436,0.0,0.271356783919598,0.16,0.0,0.0
437,0.0,0.27889447236180903,0.16,0.0,0.0
438,0.0,0.28643216080402006,0.16,0.0,0.0
439,0.0,0.29396984924623115,0.16,0.0,0.0
440,0.0,0.3015075376884422,0.16,0.0,0.0
441,0.0,0.30904522613065327,0.16,0.0,0.0
442,0.0,0.3165829145728643,0.16,0.0,0.0
443,0.0,0.32412060301507534,0.16,0.0,0.0
444,0.0,0.3316582914572864,0.16,0.0,0.0
445,0.0,0.33919597989949746,0.16,0.0,0.0
446,0.0,0.34673366834170855,0.16,0.0,0.0
447,0.0,0.3542713567839196,0.16,0.0,0.0
448,0.0,0.36180904522613067,0.16,0.0,0.0
449,0.0,0.3693467336683417,0.16,0.0,0.0
450,0.0,0.37688442211055273,0.16,0.0,0.0
451,0.0,0.3844221105527638,0.16,0.0,0.0
452,0.0,0.39195979899497485,0.16,0.0,0.0
453,0.0,0.39949748743718594,0.16,0.0,0.0
454,0.0,0.40703517587939697,0.16,0.0,0.0
455,0.0,0.414572864321608,0.16,0.0,0.0
456,0.0,0.4221105527638191,0.16,0.0,0.0
457,0.0,0.4296482412060301,0.16,0.0,0.0
458,0.0,0.4371859296482412,0.16,0.0,0.0
459,0.0,0.44472361809045224,0.16,0.0,0.0
460,0.0,0.4522613065326633,0.16,0.0,0.0
461,0.0,0.45979899497487436,0.16,0.0,0.0
462,0.0,0.4673366834170854,0.16,0.0,0.0
463,0.0,0.4748743718592965,0.16,0.0,0.0
464,0.0,0.4824120603015075,0.16,0.0,0.0
465,0.0,0.48994974874371855,0.16,0.0,0.0
466,0.0,0.49748743718592964,0.16,0.0,0.0
467,0.0,0.5050251256281407,0.16,0.0,0.0
468,0.0,0.5125628140703518,0.16,0.0,0.0
469,0.0,0.5201005025125628,0.16,0.0,0.0
470,0.0,0.5276381909547738,0.16,0.0,0.0
471,0.0,0.5351758793969849,0.16,0.0,0.0
472,0.0,0.542713567839196,0.16,0.0,0.0
473,0.0,0.550251256281407,0.16,0.0,0.0
474,0.0,0.5577889447236181,0.16,0.0,0.0
475,0.0,0.5653266331658291,0.16,0.0,0.0
476,0.0,0.5728643216080401,0.16,0.0,0.0
477,0.0,0.5804020100502513,0.16,0.0,0.0
478,0.0,0.5879396984924623,0.16,0.0,0.0
479,0.0,0.5954773869346733,0.16,0.0,0.0
480,0.0,0.6030150753768844,0.16,0.0,0.0
481,0.0,0.6105527638190954,0.16,0.0,0.0
482,0.0,0.6180904522613065,0.16,0.0,0.0
483,0.0,0.6256281407035176,0.16,0.0,0.0
484,0.0,0.6331658291457286,0.16,0.0,0.0
485,0.0,0.6407035175879396,0.16,0.0,0.0
486,0.0,0.6482412060301507,0.16,0.0,0.0
487,0.0,0.6557788944723618,0.16,0.0,0.0
488,0.0,0.6633165829145728,0.16,0.0,0.0
489,0.0,0.6708542713567839,0.16,0.0,0.0
490,0.0,0.6783919597989949,0.16,0.0,0.0
491,0.0,0.685929648241206,0.16,0.0,0.0
492,0.0,0.6934673366834171,0.16,0.0,0.0
493,0.0,0.7010050251256281,0.16,0.0,0.0
494,0.0,0.7085427135678392,0.16,0.0,0.0
495,0.0,0.7160804020100502,0.16,0.0,0.0
496,0.0,0.7236180904522613,0.16,0.0,0.0
497,0.0,0.7311557788944724,0.16,0.0,0.0
498,0.0,0.7386934673366834,0.16,0.0,0.0
499,0.0,0.7462311557788944,0.16,0.0,0.0
500,0.0,0.7537688442211055,0.16,0.0,0.0
501,0.0,0.7613065326633166,0.16,0.0,0.0
502,0.0,0.7688442211055276,0.16,0.0,0.0
503,0.0,0.7763819095477387,0.16,0.0,0.0
504,0.0,0.7839195979899497,0.16,0.0,0.0
505,0.0,0.7914572864321607,0.16,0.0,0.0
506,0.0,0.7989949748743719,0.16,0.0,0.0
507,0.0,0.8065326633165829,0.16,0.0,0.0
508,0.0,0.8140703517587939,0.16,0.0,0.0
509,0.0,0.821608040201005,0.16,0.0,0.0
510,0.0,0.829145728643216,0.16,0.0,0.0
511,0.0,0.8366834170854272,0.16,0.0,0.0
512,0.0,0.8442211055276382,0.16,0.0,0.0
513,0.0,0.8517587939698492,0.16,0.0,0.0
514,0.0,0.8592964824120602,0.16,0.0,0.0
