,Meta,c,a,N_ss,SS_pos,Cdk1_Period,Cdk1_Amplitude
269,0.0,0.008053691275167784,8.428264418450656,1.0,Bottom,0.0,0.0
270,0.0,0.008053691275167784,8.499090169866207,1.0,Bottom,0.0,0.0
271,0.0,0.008053691275167784,8.569915921281758,1.0,Bottom,0.0,0.0
272,0.0,0.008053691275167784,8.64074167269731,1.0,Bottom,0.0,0.0
273,0.0,0.008053691275167784,8.711567424112863,1.0,Bottom,0.0,0.0
274,0.0,0.008053691275167784,8.782393175528414,1.0,Bottom,0.0,0.0
275,0.0,0.008053691275167784,8.853218926943965,1.0,Bottom,0.0,0.0
276,0.0,0.008053691275167784,8.924044678359516,1.0,Bottom,0.0,0.0
277,0.0,0.008053691275167784,8.99487042977507,1.0,Bottom,0.0,0.0
278,0.0,0.008053691275167784,9.06569618119062,1.0,Bottom,0.0,0.0
279,0.0,0.008053691275167784,9.136521932606172,1.0,Bottom,0.0,0.0
280,0.0,0.008053691275167784,9.207347684021725,1.0,Bottom,0.0,0.0
281,0.0,0.008053691275167784,9.278173435437276,1.0,Bottom,0.0,0.0
282,0.0,0.008053691275167784,9.348999186852827,1.0,Bottom,0.0,0.0
283,0.0,0.008053691275167784,9.419824938268379,1.0,Bottom,0.0,0.0
284,0.0,0.008053691275167784,9.490650689683932,1.0,Bottom,0.0,0.0
285,0.0,0.008053691275167784,9.561476441099483,1.0,Bottom,0.0,0.0
286,0.0,0.008053691275167784,9.632302192515034,1.0,Bottom,0.0,0.0
287,0.0,0.008053691275167784,9.703127943930586,1.0,Bottom,0.0,0.0
288,0.0,0.008053691275167784,9.773953695346139,1.0,Bottom,0.0,0.0
289,0.0,0.008053691275167784,9.84477944676169,1.0,Bottom,0.0,0.0
290,0.0,0.008053691275167784,9.915605198177241,1.0,Bottom,0.0,0.0
291,0.0,0.008053691275167784,9.986430949592792,1.0,Bottom,0.0,0.0
292,0.0,0.008053691275167784,10.057256701008345,1.0,Bottom,0.0,0.0
293,0.0,0.008053691275167784,10.128082452423897,1.0,Bottom,0.0,0.0
294,0.0,0.008053691275167784,10.198908203839448,1.0,Bottom,0.0,0.0
295,0.0,0.008053691275167784,10.269733955255,1.0,Bottom,0.0,0.0
296,0.0,0.008053691275167784,10.340559706670552,1.0,Bottom,0.0,0.0
297,0.0,0.008053691275167784,10.411385458086103,1.0,Bottom,0.0,0.0
298,0.0,0.008053691275167784,10.482211209501655,3.0,0.0,0.0,0.0
299,0.0,0.008053691275167784,10.553036960917208,3.0,0.0,0.0,0.0
300,0.0,0.01610738255033557,0.0,1.0,0.0,0.0,0.0
301,0.0,0.01610738255033557,0.07082575141555172,1.0,0.0,0.0,0.0
302,0.0,0.01610738255033557,0.14165150283110345,1.0,0.0,0.0,0.0
303,0.0,0.01610738255033557,0.21247725424665517,1.0,0.0,0.0,0.0
304,0.0,0.01610738255033557,0.2833030056622069,1.0,0.0,0.0,0.0
305,0.0,0.01610738255033557,0.3541287570777586,1.0,0.0,0.0,0.0
306,0.0,0.01610738255033557,0.42495450849331035,1.0,0.0,0.0,0.0
