,Meta,dsyn,acdk,Period,G1,SG2,M,E2F Amplitude,APC Amplitude
712,0.0,0.10743243243243245,13.205128205128204,4008.041448298024,1866.9987042780767,1834.3774940775293,298.2995519802985,0.9993847658698426,0.9999999314690089
713,0.0,0.10743243243243245,13.46153846153846,2043.07143802055,1171.0138960309278,295.5786095670255,17.744669539717506,0.9728051821700694,0.9672029227328983
714,0.0,0.10743243243243245,13.717948717948717,2051.756481550079,1133.7265263525496,293.9338818577644,18.252280524776324,0.9727899289286372,0.967048840327162
715,0.0,0.10743243243243245,13.974358974358974,2059.076562108098,1099.6058761212553,293.54799841613294,17.002781803892503,0.9727726175579336,0.9669331275374835
716,0.0,0.10743243243243245,14.23076923076923,2065.3613966821604,1069.6777494588177,293.45016100906105,17.249041269798,0.9727568888721382,0.9668406039547079
717,0.0,0.10743243243243245,14.487179487179485,2070.8275408288837,1041.5118309929303,293.2626423445181,17.433529031157832,0.9727420838052564,0.9667644490914719
718,0.0,0.10743243243243245,14.743589743589743,2075.6362733415017,1013.9444300703917,295.80024156916625,16.74552593804765,0.9727270599059341,0.9667003188351867
719,0.0,0.10743243243243245,15.0,2079.8818243784044,990.4166366604422,295.3154738875455,17.411033478925674,0.9727124802100766,0.9666450418606598
720,0.0,0.11081081081081082,5.0,1976.1691201429194,1174.1776316769865,683.4573205042507,118.52921825313388,0.9946091085578779,0.9999933721367097
721,0.0,0.11081081081081082,5.256410256410256,2066.7571162414615,1213.8570796084387,726.1299428560615,126.77498840250882,0.9952131976084089,0.9999945272772923
722,0.0,0.11081081081081082,5.512820512820513,2154.112020379477,1250.823079514128,768.190482281334,135.09217022621579,0.995777050660055,0.9999954582761037
723,0.0,0.11081081081081082,5.769230769230769,2238.4333988572507,1285.2512929609984,809.6917925725247,143.48419825279598,0.996208779360217,0.9999962090939147
724,0.0,0.11081081081081082,6.0256410256410255,2319.9497550304086,1317.3053366461263,850.6809859482528,151.95655927838516,0.9965840128346928,0.9999968196326494
725,0.0,0.11081081081081082,6.282051282051282,2398.8665207272606,1347.1419544231949,891.2061772855295,160.51113393436572,0.9969631376406739,0.9999973193939826
726,0.0,0.11081081081081082,6.538461538461538,2475.375146127134,1374.9057779783752,931.3099479578177,169.15486771900942,0.9972470086233438,0.9999977308589868
727,0.0,0.11081081081081082,6.794871794871795,2549.6598689537395,1400.7342494293653,971.03212904465,177.88784167891026,0.9974977579798191,0.9999980738359957
728,0.0,0.11081081081081082,7.051282051282051,2621.8874379016734,1424.7616813489594,1010.4050449583538,186.71032265572103,0.9977199741668121,0.9999983578052557
729,0.0,0.11081081081081082,7.3076923076923075,2692.2152511080703,1447.1905115546688,1049.4644605128105,195.52023726911466,0.9979174786481483,0.9999985957302044
730,0.0,0.11081081081081082,7.564102564102564,2760.790707579149,1468.5311163035858,1088.2383133079438,203.80458276974286,0.9981329271746792,0.9999987951538256
731,0.0,0.11081081081081082,7.82051282051282,2827.5639883055483,1489.170498207327,1126.7544236796602,211.25366755793857,0.9982863186420069,0.9999989631545022
732,0.0,0.11081081081081082,8.076923076923077,2893.2220908833615,1509.5408709997027,1165.0381515782556,217.09482331173467,0.9984237266616475,0.9999991056559708
733,0.0,0.11081081081081082,8.333333333333332,2957.326771815393,1528.7417027487745,1203.1118407627073,222.9882038337837,0.9985471121021737,0.9999992266905874
734,0.0,0.11081081081081082,8.58974358974359,3019.971845119201,1545.7801601021783,1240.9956440639435,230.35915344705973,0.9986581624406492,0.9999993298288375
735,0.0,0.11081081081081082,8.846153846153847,3081.8742478194054,1563.5796813441812,1278.7102388882677,234.78947371118466,0.9987583341810532,0.9999994186520121
736,0.0,0.11081081081081082,9.102564102564102,3142.521526520294,1580.5781578433853,1316.2709325423202,240.42224846438148,0.998848887864194,0.9999994935263284
737,0.0,0.11081081081081082,9.358974358974358,3202.058883016809,1597.1204795060949,1353.6944052244953,243.38921292889154,0.9989309172846513,0.999999558771747
738,0.0,0.11081081081081082,9.615384615384615,3261.0297534698493,1611.3269205832576,1390.9964638527026,248.56170163822026,0.9990302041776762,0.9999996143528369
739,0.0,0.11081081081081082,9.871794871794872,3319.0663651550317,1628.395638247005,1428.1885286359711,253.09730736930715,0.9990956485875712,0.9999996625374223
740,0.0,0.11081081081081082,10.128205128205128,3376.390263632749,1642.4488549937432,1465.282919578187,258.09441017650124,0.9991552962060088,0.9999997041353176
741,0.0,0.11081081081081082,10.384615384615383,3433.0810337111448,1660.726787440483,1502.288114268651,260.2399399278638,0.9992097569719125,0.9999997401256531
742,0.0,0.11081081081081082,10.64102564102564,3487.5776912741944,1677.9858312958286,1539.2022805218794,262.4091997107771,0.9992595537322044,0.9999997713218164
743,0.0,0.11081081081081082,10.897435897435898,3541.6304477499207,1687.9134497433893,1574.581853003987,267.14120262431834,0.9993034977430014,0.9999997982885407
744,0.0,0.11081081081081082,11.153846153846153,3589.587503120094,1699.246795051377,1607.2203127069588,270.7141718781163,0.9993411152565335,0.9999998219616038
745,0.0,0.11081081081081082,11.410256410256409,3634.3928648712927,1709.2766823555185,1638.1988369764658,275.24563692643824,0.9993744087282144,0.9999998427809291
746,0.0,0.11081081081081082,11.666666666666666,3677.6103402096633,1718.5900130347227,1667.9850554812656,278.71157797847445,0.9994043714661052,0.9999998610644468
747,0.0,0.11081081081081082,11.923076923076923,3719.2120750609374,1730.5203211774756,1696.8112672362513,284.30551626502984,0.9994315883289413,0.9999998766022591
748,0.0,0.11081081081081082,12.179487179487179,3760.659976029915,1736.969980769824,1724.8184403224786,291.1461518448632,0.9994564672876752,0.9999998905772373
749,0.0,0.11081081081081082,12.435897435897434,3800.187524169305,1747.8609370203358,1752.1091041282489,290.64305975737807,0.9994793245792865,0.9999999029469013
750,0.0,0.11081081081081082,12.692307692307692,3839.5231849258794,1758.7545229596922,1778.7781744328167,291.38855000605326,0.9995004238549153,0.9999999137569864
751,0.0,0.11081081081081082,12.948717948717949,3876.9339298048776,1766.7145218524793,1804.9402904192793,297.5104769416066,0.9995200035250988,0.9999999231894859
752,0.0,0.11081081081081082,13.205128205128204,3915.5918584680435,1776.6781693948233,1830.813870542208,298.5855390299894,0.9995383362489069,0.9999999315259738
753,0.0,0.11081081081081082,13.46153846153846,1955.8987998331477,1482.0127568243147,302.81648893812235,17.7437611134701,0.9732381710080903,0.966198835230558
754,0.0,0.11081081081081082,13.717948717948717,1964.1108110635578,1445.8481632315052,303.43621412444463,18.123267202470743,0.9732260215596065,0.9660456661801751
755,0.0,0.11081081081081082,13.974358974358974,1971.0668462040267,1412.9645604640814,303.52481374151284,18.33232269180553,0.9732122654783832,0.9659286388918834
756,0.0,0.11081081081081082,14.23076923076923,1977.0584993901284,1383.6160148627378,302.7129300698998,18.102720993349976,0.9731973954243753,0.9658341389540811
757,0.0,0.11081081081081082,14.487179487179485,1982.288925425676,1356.193151525029,303.5327800828136,18.011800330400547,0.9731826483512027,0.9657564100117184
758,0.0,0.11081081081081082,14.743589743589743,1986.8790559561776,1329.641573255818,304.33402043361275,18.865039933318258,0.9731673517402895,0.965690600108354
759,0.0,0.11081081081081082,15.0,1990.9626598075702,1305.0792951400258,303.46021189297335,18.620223494045604,0.9731527982401259,0.9663006299209107
760,0.0,0.1141891891891892,5.0,1901.977083623623,1106.8329372979988,676.2883906220823,118.85017719021198,0.9952359578282969,0.9999933695558748
761,0.0,0.1141891891891892,5.256410256410256,1991.1154715887233,1145.0491126103225,718.9521024354726,127.1086301758587,0.9958205276307813,0.9999945285252658
762,0.0,0.1141891891891892,5.512820512820513,2077.1811223828636,1180.7048691497275,761.0317859707975,135.43862584113685,0.9963524184516096,0.9999954589575932
763,0.0,0.1141891891891892,5.769230769230769,2160.3820418274154,1213.956745548754,802.5757608766962,143.84300875147983,0.9967569997988623,0.9999962088651537
764,0.0,0.1141891891891892,6.0256410256410255,2240.918027811058,1244.9560940766423,843.6313780192268,152.32546855960118,0.9971043533896579,0.9999968195842944
765,0.0,0.1141891891891892,6.282051282051282,2318.9762304066735,1273.8411803599865,884.2414141872705,160.8909972726151,0.997405228008005,0.9999973188352703
766,0.0,0.1141891891891892,6.538461538461538,2394.7406509575894,1300.7489106285939,924.4440858318512,169.54230753081902,0.997706166025582,0.9999977319952854
767,0.0,0.1141891891891892,6.794871794871795,2468.377201200533,1325.8088197252046,964.2753561197551,178.28683590159562,0.9979314062971862,0.999998073200265
768,0.0,0.1141891891891892,7.051282051282051,2540.0414778229897,1349.141917859145,1003.7739078616414,187.11739655692327,0.9981292550249579,0.9999983580290147
769,0.0,0.1141891891891892,7.3076923076923075,2609.8839088478544,1370.934522885529,1042.9653009951835,195.94274440030495,0.998303616081715,0.9999985954431375
770,0.0,0.1141891891891892,7.564102564102564,2678.1013636619123,1391.7500586798606,1081.8810793534503,204.1253626905591,0.9984577453275335,0.9999987944974614
771,0.0,0.1141891891891892,7.82051282051282,2744.513809804129,1411.6222268534293,1120.5459021055922,211.63452065965657,0.9986238989702066,0.9999989632895755
772,0.0,0.1141891891891892,8.076923076923077,2809.3652824718793,1431.5595640584115,1158.9831320297508,218.43366694664428,0.9987423462943082,0.9999991051850251
773,0.0,0.1141891891891892,8.333333333333332,2873.6700663339234,1449.3555593352703,1197.2155278480222,224.69670562619513,0.998847931386428,0.9999992269976845
774,0.0,0.1141891891891892,8.58974358974359,2936.3262067802634,1468.0560228914037,1235.264065867973,230.50905196545864,0.9989422937079245,0.9999993302805207
775,0.0,0.1141891891891892,8.846153846153847,2997.840271723806,1486.3884163477342,1273.145157864441,233.43645331621792,0.999026836003777,0.9999994182900415
776,0.0,0.1141891891891892,9.102564102564102,3058.364671989079,1503.0965658451596,1310.877439640064,236.39378451695893,0.9991027620401597,0.999999493834812
777,0.0,0.1141891891891892,9.358974358974358,3117.9409390815545,1519.0733321531134,1348.4742616139647,243.12364203611833,0.9991711078025025,0.9999995584218789
778,0.0,0.1141891891891892,9.615384615384615,3176.686378906861,1534.6507723043978,1385.9514946054187,244.7585390632687,0.999232767293214,0.9999996144074981
779,0.0,0.1141891891891892,9.871794871794872,3234.6188727743547,1549.3846028779826,1423.3199199597784,251.96078738454617,0.9992885139974983,0.9999996624633946
780,0.0,0.1141891891891892,10.128205128205128,3291.970755636008,1567.6028358848903,1460.5919494004684,254.73773411936054,0.9993553461066611,0.999999704275929
781,0.0,0.1141891891891892,10.384615384615383,3348.6601107883985,1581.4141383043857,1497.776233477729,260.1525635949747,0.9993996613156245,0.9999997400391084
782,0.0,0.1141891891891892,10.64102564102564,3404.15024143508,1598.2963798826268,1534.870976198391,262.1324012468085,0.9994399675524196,0.999999771498343
783,0.0,0.1141891891891892,10.897435897435898,3457.6290666199493,1604.8498611463674,1570.4142539175728,272.8195743453907,0.9994753455853804,0.9999997983470317
784,0.0,0.1141891891891892,11.153846153846153,3505.2241339397115,1619.4155498500259,1603.1836884408604,273.8854382272625,0.9995054697759592,0.9999998219930262
785,0.0,0.1141891891891892,11.410256410256409,3549.975569232988,1628.4957625852135,1634.273964343296,273.73544484813647,0.9995320087526423,0.9999998428635062
786,0.0,0.1141891891891892,11.666666666666666,3593.2849418680876,1641.1745225768655,1664.157582214466,277.9892194668155,0.9995557935191931,0.9999998610313016
787,0.0,0.1141891891891892,11.923076923076923,3634.5983648742467,1647.0589634590624,1693.0706734561118,284.00931256755575,0.9995773155885148,0.9999998767456979
788,0.0,0.1141891891891892,12.179487179487179,3676.3679814098946,1658.3249646136055,1721.1527859943526,287.3710069022418,0.9995969183235935,0.9999998907585883
789,0.0,0.1141891891891892,12.435897435897434,3716.349535215397,1668.0552068299357,1748.5095573197905,289.58612749910026,0.9996148676843675,0.9999999029153706
790,0.0,0.1141891891891892,12.692307692307692,3754.3398222346577,1673.3823797623077,1775.239123739073,294.63088997427076,0.9996313859584198,0.9999999136699664
