,Meta,dsyn,ddeg,Period,G1,SG2,M,E2F Amplitude,APC Amplitude
1111,0.0,0.07777777777777778,0.0061111111111111106,2141.1242491930207,1334.2763808021682,683.341623173379,123.53698869805703,0.989303590121653,0.9999933684931354
1112,0.0,0.07777777777777778,0.006212121212121212,2180.161057047717,1369.665095407232,687.4597220292599,123.09732348542093,0.9894246835574183,0.9999933689511753
1113,0.0,0.07777777777777778,0.006313131313131313,2219.813299108051,1405.5553691763307,691.5787587837667,122.67428450049556,0.9894888191154247,0.9999933690406431
1114,0.0,0.07777777777777778,0.006414141414141414,2259.9386655614308,1441.9703397226285,695.6978554842954,122.26557402745311,0.9895015348195468,0.9999933675515124
1115,0.0,0.07777777777777778,0.0065151515151515155,2300.5772864395713,1478.9303095690648,699.8171304897542,121.8722210109645,0.9895883095983873,0.9999933656907775
1116,0.0,0.07777777777777778,0.006616161616161616,2341.8934128986366,1516.4613351318712,703.9358335090255,121.49147972214632,0.9895195960861983,0.9999933685817014
1117,0.0,0.07777777777777778,0.006717171717171717,2383.766752049066,1554.588783696092,708.0540046843289,121.12359065194323,0.9894127118568263,0.9999933675852416
1118,0.0,0.07777777777777778,0.006818181818181818,2426.251354411359,1593.34588835656,712.1660683884766,120.76764782674036,0.9892715510497998,0.9999933647670027
1119,0.0,0.07777777777777778,0.006919191919191919,2469.4341659365246,1632.760083879968,716.2753272096816,120.42206374507623,0.989099532061838,0.9999933665565802
1120,0.0,0.07777777777777778,0.00702020202020202,2513.340619261745,1672.8679732726941,720.377590940343,120.08929859667842,0.988899611754474,0.999993364816066
1121,0.0,0.07777777777777778,0.007121212121212121,2557.928251138361,1713.7031181982675,724.4759048844244,119.76606055431694,0.9886743118251279,0.9999933685984012
1122,0.0,0.07777777777777778,0.007222222222222222,2603.333328031128,1755.3068385513288,728.5686065994269,119.45213150088239,0.9884257543214927,0.9999933702120586
1123,0.0,0.07777777777777778,0.0073232323232323236,2649.5293615227692,1797.7242432499334,732.6515164699485,119.14829217004444,0.9883564611543508,0.9999933664689578
1124,0.0,0.07777777777777778,0.0074242424242424235,2695.818122331584,1840.9998897266232,736.725816759088,118.85331360839155,0.9880681459777411,0.9999933642618508
1125,0.0,0.07777777777777778,0.007525252525252525,2744.536254849666,1885.187166615975,740.7910268106898,118.56608797073295,0.9877604498591857,0.9999933695435756
1126,0.0,0.07777777777777778,0.007626262626262626,2791.5325825934015,1930.3386998928963,744.8453558549636,118.28763611101294,0.9874343376413997,0.9999933659258271
1127,0.0,0.07777777777777778,0.007727272727272727,2843.4178739002837,1976.5176495111555,748.8867276969322,118.01683890620188,0.9870905636590172,0.9999933622293294
1128,0.0,0.07777777777777778,0.007828282828282828,2894.4569455841056,2023.7906834603527,752.9148706942706,117.75261224911901,0.9867297054426553,0.9999933704091019
1129,0.0,0.07777777777777778,0.007929292929292928,2944.6948082569797,2072.232549458511,756.9266356533899,117.49633965429257,0.9863521933217432,0.9999933684395824
1130,0.0,0.07777777777777778,0.00803030303030303,3000.0879423755714,2121.920266859541,760.9190904108555,117.24752468394763,0.9859583360862484,0.9999933669119437
1131,0.0,0.07777777777777778,0.008131313131313132,3054.843728176671,2172.9450198103277,764.8955680155268,117.00246391985365,0.9855483431859002,0.9999933675847368
1132,0.0,0.07777777777777778,0.008232323232323232,3111.0162317344566,2225.4025195220283,768.846268290702,116.76629292764483,0.9854034652173308,0.9999933695146369
1133,0.0,0.07777777777777778,0.008333333333333333,3168.613200895382,2279.4009624491773,772.7718988489705,116.53533779619829,0.9849586723528914,0.9999933696092425
1134,0.0,0.07777777777777778,0.008434343434343433,3228.0414846825206,2335.057815160676,776.6682146800867,116.31092193756012,0.9844974006514928,0.9999933676956575
1135,0.0,0.07777777777777778,0.008535353535353535,3286.5000494022474,2392.512633172203,780.531204518973,116.08972179452212,0.9840196227708805,0.9999933673438505
1136,0.0,0.07777777777777778,0.008636363636363636,3350.02276057257,2451.9109814768553,784.3554013082503,115.87499815127558,0.9835252802065458,0.9999933685802128
1137,0.0,0.07777777777777778,0.008737373737373736,3416.518694129316,2513.417600263223,788.1357798840218,115.66656256152237,0.9830142912698816,0.9999933708775678
1138,0.0,0.07777777777777778,0.008838383838383838,3483.68439157808,2577.2244581423693,791.8676846082435,115.46129015559563,0.9824865577751029,0.9999933690898088
1139,0.0,0.07777777777777778,0.008939393939393938,3550.5385837532176,2643.541202406618,795.5387580724346,115.26170042229023,0.9819419701942241,0.9999933679680459
1140,0.0,0.07777777777777778,0.00904040404040404,3626.9594841984544,2712.609908603057,799.1433077804395,115.06483351218412,0.9813804121076982,0.9999933718116236
