,Meta,tau,a,Cdk1_Period,Cdk1_Amplitude
243,0.0,0.050505050505050504,12.97294430367025,0.0,0.0
244,0.0,0.050505050505050504,13.112438328440897,0.0,0.0
245,0.0,0.050505050505050504,13.251932353211545,0.0,0.0
246,0.0,0.050505050505050504,13.391426377982192,0.0,0.0
247,0.0,0.050505050505050504,13.530920402752841,0.0,0.0
248,0.0,0.050505050505050504,13.67041442752349,0.0,0.0
249,0.0,0.050505050505050504,13.809908452294136,0.0,0.0
250,0.0,0.050505050505050504,13.949402477064785,0.0,0.0
251,0.0,0.050505050505050504,14.088896501835432,0.0,0.0
252,0.0,0.050505050505050504,14.22839052660608,0.0,0.0
253,0.0,0.050505050505050504,14.367884551376727,0.0,0.0
254,0.0,0.050505050505050504,14.507378576147376,0.0,0.0
255,0.0,0.050505050505050504,14.646872600918023,0.0,0.0
256,0.0,0.050505050505050504,14.786366625688672,0.0,0.0
257,0.0,0.050505050505050504,14.92586065045932,0.0,0.0
258,0.0,0.050505050505050504,15.065354675229967,0.0,0.0
259,0.0,0.050505050505050504,15.204848700000616,0.0,0.0
260,0.0,0.050505050505050504,15.344342724771263,0.0,0.0
261,0.0,0.050505050505050504,15.483836749541911,0.0,0.0
262,0.0,0.050505050505050504,15.623330774312558,0.0,0.0
263,0.0,0.050505050505050504,15.762824799083207,0.0,0.0
264,0.0,0.050505050505050504,15.902318823853854,0.0,0.0
265,0.0,0.050505050505050504,16.041812848624502,0.0,0.0
266,0.0,0.050505050505050504,16.18130687339515,0.0,0.0
267,0.0,0.050505050505050504,16.320800898165796,0.0,0.0
268,0.0,0.050505050505050504,16.460294922936445,0.0,0.0
269,0.0,0.050505050505050504,16.599788947707093,0.0,0.0
270,0.0,0.050505050505050504,16.739282972477742,0.0,0.0
271,0.0,0.050505050505050504,16.87877699724839,0.0,0.0
272,0.0,0.050505050505050504,17.018271022019036,0.0,0.0
273,0.0,0.050505050505050504,17.157765046789685,0.0,0.0
274,0.0,0.050505050505050504,17.297259071560333,0.0,0.0
275,0.0,0.050505050505050504,17.436753096330982,0.0,0.0
276,0.0,0.050505050505050504,17.576247121101627,0.0,0.0
277,0.0,0.050505050505050504,17.715741145872276,0.0,0.0
278,0.0,0.050505050505050504,17.855235170642924,0.0,0.0
279,0.0,0.050505050505050504,17.994729195413573,0.0,0.0
280,0.0,0.050505050505050504,18.13422322018422,0.0,0.0
281,0.0,0.050505050505050504,18.273717244954867,0.0,0.0
282,0.0,0.050505050505050504,18.413211269725515,0.0,0.0
283,0.0,0.050505050505050504,18.552705294496164,0.0,0.0
284,0.0,0.050505050505050504,18.692199319266813,0.0,0.0
285,0.0,0.050505050505050504,18.831693344037458,0.0,0.0
286,0.0,0.050505050505050504,18.971187368808106,0.0,0.0
287,0.0,0.050505050505050504,19.110681393578755,0.0,0.0
288,0.0,0.050505050505050504,19.250175418349404,0.0,0.0
289,0.0,0.050505050505050504,19.389669443120052,0.0,0.0
290,0.0,0.050505050505050504,19.529163467890697,0.0,0.0
291,0.0,0.050505050505050504,19.668657492661346,0.0,0.0
292,0.0,0.050505050505050504,19.808151517431995,0.0,0.0
293,0.0,0.050505050505050504,19.947645542202643,0.0,0.0
294,0.0,0.050505050505050504,20.08713956697329,0.0,0.0
295,0.0,0.050505050505050504,20.226633591743937,0.0,0.0
296,0.0,0.050505050505050504,20.366127616514586,0.0,0.0
297,0.0,0.050505050505050504,20.505621641285234,0.0,0.0
298,0.0,0.050505050505050504,20.64511566605588,0.0,0.0
299,0.0,0.050505050505050504,20.784609690826528,0.0,0.0
300,0.0,0.10101010101010101,0.0,0.0,0.0
301,0.0,0.10101010101010101,0.13949402477064785,0.0,0.0
302,0.0,0.10101010101010101,0.2789880495412957,0.0,0.0
303,0.0,0.10101010101010101,0.4184820743119435,0.0,0.0
304,0.0,0.10101010101010101,0.5579760990825914,0.0,0.0
305,0.0,0.10101010101010101,0.6974701238532393,0.0,0.0
306,0.0,0.10101010101010101,0.836964148623887,0.0,0.0
307,0.0,0.10101010101010101,0.9764581733945349,0.0,0.0
308,0.0,0.10101010101010101,1.1159521981651828,0.0,0.0
309,0.0,0.10101010101010101,1.2554462229358305,0.0,0.0
310,0.0,0.10101010101010101,1.3949402477064785,0.0,0.0
311,0.0,0.10101010101010101,1.5344342724771263,0.0,0.0
312,0.0,0.10101010101010101,1.673928297247774,0.0,0.0
313,0.0,0.10101010101010101,1.813422322018422,0.0,0.0
314,0.0,0.10101010101010101,1.9529163467890698,0.0,0.0
315,0.0,0.10101010101010101,2.0924103715597178,0.0,0.0
316,0.0,0.10101010101010101,2.2319043963303655,0.0,0.0
317,0.0,0.10101010101010101,2.3713984211010133,0.0,0.0
318,0.0,0.10101010101010101,2.510892445871661,0.0,0.0
319,0.0,0.10101010101010101,2.6503864706423093,0.0,0.0
320,0.0,0.10101010101010101,2.789880495412957,0.0,0.0
321,0.0,0.10101010101010101,2.929374520183605,0.0,0.0
