,Meta,bsyn,bdeg,Apc_Period_Module,Apc_Amplitude_Module,Apc_Period_MA,Apc_Amplitude_MA
241,0.0,0.2934782608695652,0.09492753623188405,0.0,0.0,0.0,0.0
242,0.0,0.2934782608695652,0.09637681159420289,0.0,0.0,0.0,0.0
243,0.0,0.2934782608695652,0.09782608695652173,0.0,0.0,0.0,0.0
244,0.0,0.2934782608695652,0.09927536231884057,0.0,0.0,0.0,0.0
245,0.0,0.2934782608695652,0.10072463768115941,0.0,0.0,0.0,0.0
246,0.0,0.2934782608695652,0.10217391304347825,0.0,0.0,0.0,0.0
247,0.0,0.2934782608695652,0.1036231884057971,0.0,0.0,0.0,0.0
248,0.0,0.2934782608695652,0.10507246376811594,0.0,0.0,0.0,0.0
249,0.0,0.2934782608695652,0.10652173913043478,0.0,0.0,0.0,0.0
250,0.0,0.2934782608695652,0.10797101449275362,0.0,0.0,0.0,0.0
251,0.0,0.2934782608695652,0.10942028985507246,0.0,0.0,0.0,0.0
252,0.0,0.2934782608695652,0.1108695652173913,0.0,0.0,0.0,0.0
253,0.0,0.2934782608695652,0.11231884057971014,0.0,0.0,0.0,0.0
254,0.0,0.2934782608695652,0.11376811594202899,0.0,0.0,0.0,0.0
255,0.0,0.2934782608695652,0.11521739130434781,0.0,0.0,0.0,0.0
256,0.0,0.2934782608695652,0.11666666666666665,0.0,0.0,0.0,0.0
257,0.0,0.2934782608695652,0.1181159420289855,0.0,0.0,0.0,0.0
258,0.0,0.2934782608695652,0.11956521739130434,0.0,0.0,0.0,0.0
259,0.0,0.2934782608695652,0.12101449275362318,0.0,0.0,0.0,0.0
260,0.0,0.2934782608695652,0.12246376811594202,0.0,0.0,0.0,0.0
261,0.0,0.2934782608695652,0.12391304347826086,0.0,0.0,0.0,0.0
262,0.0,0.2934782608695652,0.1253623188405797,0.0,0.0,0.0,0.0
263,0.0,0.2934782608695652,0.12681159420289856,0.0,0.0,0.0,0.0
264,0.0,0.2934782608695652,0.12826086956521737,0.0,0.0,0.0,0.0
265,0.0,0.2934782608695652,0.12971014492753624,0.0,0.0,0.0,0.0
266,0.0,0.2934782608695652,0.13115942028985506,0.0,0.0,0.0,0.0
267,0.0,0.2934782608695652,0.13260869565217392,0.0,0.0,0.0,0.0
268,0.0,0.2934782608695652,0.13405797101449274,0.0,0.0,0.0,0.0
269,0.0,0.2934782608695652,0.13550724637681158,0.0,0.0,0.0,0.0
270,0.0,0.2934782608695652,0.13695652173913042,0.0,0.0,0.0,0.0
271,0.0,0.2934782608695652,0.13840579710144926,0.0,0.0,0.0,0.0
272,0.0,0.2934782608695652,0.1398550724637681,0.0,0.0,0.0,0.0
273,0.0,0.2934782608695652,0.14130434782608695,0.0,0.0,0.0,0.0
274,0.0,0.2934782608695652,0.1427536231884058,0.0,0.0,0.0,0.0
275,0.0,0.2934782608695652,0.14420289855072463,0.0,0.0,0.0,0.0
276,0.0,0.2934782608695652,0.14565217391304347,0.0,0.0,0.0,0.0
277,0.0,0.2934782608695652,0.1471014492753623,0.0,0.0,0.0,0.0
278,0.0,0.2934782608695652,0.14855072463768115,0.0,0.0,0.0,0.0
279,0.0,0.2934782608695652,0.15,0.0,0.0,0.0,0.0
280,0.0,0.3079710144927536,0.05,0.0,0.0,0.0,0.0
281,0.0,0.3079710144927536,0.051449275362318844,0.0,0.0,0.0,0.0
282,0.0,0.3079710144927536,0.052898550724637686,0.0,0.0,0.0,0.0
283,0.0,0.3079710144927536,0.05434782608695653,0.0,0.0,0.0,0.0
284,0.0,0.3079710144927536,0.05579710144927536,0.0,0.0,0.0,0.0
285,0.0,0.3079710144927536,0.0572463768115942,0.0,0.0,0.0,0.0
286,0.0,0.3079710144927536,0.058695652173913045,0.0,0.0,0.0,0.0
287,0.0,0.3079710144927536,0.060144927536231886,0.0,0.0,0.0,0.0
288,0.0,0.3079710144927536,0.06159420289855073,0.0,0.0,0.0,0.0
289,0.0,0.3079710144927536,0.06304347826086956,0.0,0.0,0.0,0.0
290,0.0,0.3079710144927536,0.0644927536231884,0.0,0.0,0.0,0.0
